Time (s),X1 (pixels),Y1 (pixels)
5.255,290,152
7.124,291,154
8.992,291,156
10.894,290,153
12.796,293,146
14.664,297,147
16.533,296,146
18.401,299,143
20.303,299,145
22.205,298,142
24.107,297,137
25.975,302,135
27.877,311,143
