Time (s),X1 (pixels),Y1 (pixels)
4.021,263,134
5.922,264,140
7.791,266,138
9.659,264,142
11.561,264,143
13.463,263,140
15.365,257,144
17.233,257,149
19.102,255,153
21.004,255,153
22.906,261,155
24.808,253,156
26.676,255,155
