Time (s),X1 (pixels),Y1 (pixels)
4.117,1180,237
6.050,1170,237
7.950,1163,237
9.850,1154,236
11.783,1148,236
13.683,1139,236
15.583,1138,239
17.483,1130,240
19.417,1121,244
21.317,1112,245
23.217,1106,248
25.117,1104,253
