Time (s),X1 (pixels),Y1 (pixels)
2.517,1418,322
4.517,1385,349
6.483,1361,376
8.417,1342,399
10.383,1317,411
12.350,1301,437
14.317,1281,463
16.250,1266,477
18.217,1250,497
20.117,1235,511
22.050,1220,531
23.983,1206,543
