Time (s),X1 (pixels),Y1 (pixels)
5.217,1180,348
7.117,1180,348
8.950,1175,350
10.850,1180,350
12.717,1179,351
14.583,1174,352
16.483,1176,355
18.383,1177,355
20.250,1182,359
22.117,1176,360
24.017,1175,362
25.917,1177,359
27.783,1171,363
