Time (s),X1 (pixels),Y1 (pixels)
3.117,1544,341
5.083,1509,377
7.083,1483,420
9.083,1451,466
11.050,1432,501
12.983,1412,536
14.950,1393,579
16.950,1380,613
18.917,1364,653
20.883,1346,688
22.850,1335,734
24.783,1327,780
