Time (s),X1 (pixels),Y1 (pixels)
4.150,1249,202
6.083,1232,231
8.017,1224,257
9.950,1221,278
11.850,1218,297
13.783,1209,314
15.717,1207,333
17.650,1206,355
19.550,1198,365
21.483,1198,389
23.417,1195,409
25.350,1195,429
