Time (s),X1 (pixels),Y1 (pixels)
4.217,1284,259
6.083,1282,262
7.983,1278,265
9.883,1281,266
11.783,1277,272
13.650,1276,274
15.550,1273,274
17.450,1277,278
19.383,1271,279
21.217,1271,285
23.150,1276,287
25.050,1265,289
