Time (s),X1 (pixels),Y1 (pixels)
10.393,270,167
12.429,267,165
14.331,268,166
16.233,266,177
18.034,268,178
19.969,263,179
21.805,262,181
23.740,261,179
25.608,256,182
27.510,258,182
29.412,260,181
31.247,254,182
