Time (s),X1 (pixels),Y1 (pixels)
4.150,1295,214
6.150,1275,221
8.083,1272,222
9.983,1260,221
11.917,1259,226
13.850,1250,232
15.783,1245,229
17.683,1240,232
19.617,1231,239
21.550,1226,236
23.450,1215,244
25.383,1214,245
