Time (s),X1 (pixels),Y1 (pixels)
4.117,1005,296
6.017,1000,292
7.883,999,303
9.783,999,302
11.650,996,301
13.550,996,305
15.417,997,306
17.317,991,306
19.183,1002,312
21.050,998,311
22.917,994,311
24.783,991,318
26.683,997,314
