Time (s),5.255,7.124,8.992,10.894,12.796,14.664,16.533,18.401,20.303,22.205,24.107,25.975,27.877
X1 (pixels),290,291,291,290,293,297,296,299,299,298,297,302,311
Y1 (pixels),152,154,156,153,146,147,146,143,145,142,137,135,143
