Time (s),3.117,5.083,7.083,9.083,11.050,12.983,14.950,16.950,18.917,20.883,22.850,24.783
X1 (pixels),1544,1509,1483,1451,1432,1412,1393,1380,1364,1346,1335,1327
Y1 (pixels),341,377,420,466,501,536,579,613,653,688,734,780
