Time (s),10.393,12.429,14.331,16.233,18.034,19.969,21.805,23.740,25.608,27.510,29.412,31.247
X1 (pixels),270,267,268,266,268,263,262,261,256,258,260,254
Y1 (pixels),167,165,166,177,178,179,181,179,182,182,181,182
