Time (s),4.150,6.083,8.017,9.950,11.850,13.783,15.717,17.650,19.550,21.483,23.417,25.350
X1 (pixels),1249,1232,1224,1221,1218,1209,1207,1206,1198,1198,1195,1195
Y1 (pixels),202,231,257,278,297,314,333,355,365,389,409,429
