Time (s),4.217,6.083,7.983,9.883,11.783,13.650,15.550,17.450,19.383,21.217,23.150,25.050
X1 (pixels),1284,1282,1278,1281,1277,1276,1273,1277,1271,1271,1276,1265
Y1 (pixels),259,262,265,266,272,274,274,278,279,285,287,289
