Time (s),2.517,4.517,6.483,8.417,10.383,12.350,14.317,16.250,18.217,20.117,22.050,23.983
X1 (pixels),1418,1385,1361,1342,1317,1301,1281,1266,1250,1235,1220,1206
Y1 (pixels),322,349,376,399,411,437,463,477,497,511,531,543
