Time (s),4.117,6.050,7.950,9.850,11.783,13.683,15.583,17.483,19.417,21.317,23.217,25.117
X1 (pixels),1180,1170,1163,1154,1148,1139,1138,1130,1121,1112,1106,1104
Y1 (pixels),237,237,237,236,236,236,239,240,244,245,248,253
