Time (s),4.117,6.017,7.883,9.783,11.650,13.550,15.417,17.317,19.183,21.050,22.917,24.783,26.683
X1 (pixels),1005,1000,999,999,996,996,997,991,1002,998,994,991,997
Y1 (pixels),296,292,303,302,301,305,306,306,312,311,311,318,314
