Time (s),4.150,6.150,8.083,9.983,11.917,13.850,15.783,17.683,19.617,21.550,23.450,25.383
X1 (pixels),1295,1275,1272,1260,1259,1250,1245,1240,1231,1226,1215,1214
Y1 (pixels),214,221,222,221,226,232,229,232,239,236,244,245
