Time (s),4.021,5.922,7.791,9.659,11.561,13.463,15.365,17.233,19.102,21.004,22.906,24.808,26.676
X1 (pixels),263,264,266,264,264,263,257,257,255,255,261,253,255
Y1 (pixels),134,140,138,142,143,140,144,149,153,153,155,156,155
