Time (s),5.217,7.117,8.950,10.850,12.717,14.583,16.483,18.383,20.250,22.117,24.017,25.917,27.783
X1 (pixels),1180,1180,1175,1180,1179,1174,1176,1177,1182,1176,1175,1177,1171
Y1 (pixels),348,348,350,350,351,352,355,355,359,360,362,359,363
