Time (s),3.887,5.756,7.624,9.526,11.394,13.263,15.165,17.033,18.935,20.837,22.672
X1 (pixels),224,227,227,229,229,231,229,242,240,239,236
Y1 (pixels),160,160,160,157,156,157,153,150,154,157,158
